OBJECTID,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,GEOID10_1,PICK_GEOID,BGPICKLIST,BGTITLE,GEOID_NUM,POPDENS,SWTORD,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,AREA_SQMI,LUDIVERSE,R_AVGYR,PCTSSI,POP,PCTLATINO,PCTWH_NL,PCTBLK_NL,PCTASIANNL,PCTOTHERNL,RE_DIVERSE,MEDAGE,PctUnd18,Pct65Up,MHI,PCI,PCTRENT,PCTUNFRENT,PCTUNFOWN,PCTC30,PCTDRALONE,PCTBIKEWK,PCTWLKWK,PCTWRKHM,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,TREE_PCT,IMP_PCT,id,AREA_SQMI_,CVALPSM_12,RVALPSM_12,ACODEV_12,WCODEV_12,RCODEV_12
120,63,1705,3,370630000000,Block Group 3,370630000000,63 - 370630017053,"63 - Tract: 001705, BG: 3",63 - 0017053,370630000000,1684,32.3,33,178,22,0.81545,18,1984,0,1373,14.5,42.9,35.3,4.1,3.3,66.9,31.7,21.8,7.7,41378.00,30903.00,55.5,47.7,29.7999992,21.2,83.4,0,0,2.3,14.6,61,0,81.3,53,11,59.9,30.9,120,0.81545,342752.00,3985.00,1,3.7,0.6
121,63,500,4,370630000000,Block Group 4,370630000000,21 - 370630005004,"21 - Tract: 000500, BG: 4",21 - 0005004,370630000000,5813,42.1,175,322,147,0.18322,36.3,1950,8.3,1065,19.2,6.4,71,0.2,3.2,45.5,32.1,31.4,7.5,17019.00,10155.00,63.9,92.7,61.0999985,19.2,53.1,0,0,0,33.4,0,0,89.8,74,11,57.1,33.3,121,0.18322,881962.00,869240.00,3,6.3,4.3
122,63,600,1,370630000000,Block Group 1,370630000000,22 - 370630006001,"22 - Tract: 000600, BG: 1",22 - 0006001,370630000000,3520,12,43,246,23,0.69061,29.1,1956,4.2,2431,17.7,41.8,35.3,1.9,3.4,66.9,35.7,22.1,8.5,53333.00,25209.00,40.3,39.8,25.5,30.6,72.6,0.6,0,13.6,12.2,0,42.6,87.9,74,11,62.6,27.6,122,0.69061,217920.00,2212669.00,1.4,4.2,0.3
123,63,101,2,370630000000,Block Group 2,370630000000,2 - 370630001012,"2 - Tract: 000101, BG: 2",2 - 0001012,370630000000,3157,22.1,82,269,33,0.59903,33.5,1967,9,1891,15.2,15.5,65.6,1,2.6,52.2,32.7,29.5,8.9,37763.00,16148.00,34.5,64.8,47.5,19,74.1,0,2.6,0,7.1,0,5.1,90.7,106,23,63.1,25.6,123,0.59903,50080.00,48847.00,2.1,4.8,1.5
124,63,1809,2,370630000000,Block Group 2,370630000000,97 - 370630018092,"97 - Tract: 001809, BG: 2",97 - 0018092,370630000000,1438,23.6,8,39,1,1.85217,27.7,1984,7.1,2664,9.1,52,34.4,2.2,2.4,60.3,30.8,23.9,6.8,57832.00,29818.00,33.4,64.1,28.2999992,14.8,82.5,0,0.4,1.1,0,0,0.5,36.2,39,17,49.6,21.2,124,1.85217,0.00,1674235.00,0.1,0.4,0.2
125,63,2019,2,370630000000,Block Group 2,370630000000,123 - 370630020192,"123 - Tract: 002019, BG: 2",123 - 0020192,370630000000,321,9.6,1,5,0,4.78973,17.8,1987,0,1536,4.6,74.9,6.9,10.6,3,42,27.2,9.6,5.1,44152.00,36089.00,60.1,46.7,18.7999992,26.1,72,1.9,2.4,1.8,0,0,0,0,0,0,79.2,6.1,125,4.78973,0.00,2954863.00,0,0,0
126,63,2200,1,370630000000,Block Group 1,370630000000,150 - 370630022001,"150 - Tract: 002200, BG: 1",150 - 0022001,370630000000,3276,110.9,123,694,49,0.59394,62.5,1963,0.8,1946,10.9,51.3,32.3,2.7,2.8,62,31.8,12.8,3.4,41827.00,28944.00,77.5,51.2,29.5,26.6,58.2,0.9,14.2,2.3,37.7,0.8,23,100,476,108,16.7,67.6,126,0.59394,7506645.00,3953848.00,1.4,3.8,2.2
127,63,2020,2,370630000000,Block Group 2,370630000000,126 - 370630020202,"126 - Tract: 002020, BG: 2",126 - 0020202,370630000000,1066,36.7,2,10,0,3.62337,7.8,1999,0,3862,3.4,56.5,28.7,8.4,3,59,36.9,27.8,6.9,105667.00,48028.00,0.9,0,25.7999992,14.1,80.7,0,1.1,10.3,0,0,0,0,0,0,64.5,15.2,127,3.62337,0.00,3210003.00,0,0.1,0
128,63,2026,2,370630000000,Block Group 2,370630000000,140 - 370630020262,"140 - Tract: 002026, BG: 2",140 - 0020262,370630000000,2171,38.4,32,149,15,1.63391,23.6,1990,0.8,3548,14.4,12,70.1,1.6,1.9,47.3,29.2,20.2,7.9,42946.00,21405.00,59.6,43.2,56.2999992,19.1,77.2,0,0,0.4,0,0,0,73.6,194,44,62.1,27.2,128,1.63391,0.00,1810977.00,0.1,0.2,0.4
129,63,2027,1,370630000000,Block Group 1,370630000000,141 - 370630020271,"141 - Tract: 002027, BG: 1",141 - 0020271,370630000000,538,19.8,4,25,0,2.73568,35.9,1974,2.3,1473,25.1,37.5,32,2.7,2.7,69.3,28.4,26.1,11.5,48703.00,14336.00,37.4,6,70.9000015,9.2,83.4,0,0,0,0,0,4.4,11.8,12,6,56,25.4,129,2.73568,447376.00,1711248.00,0.3,3.3,1.1
